name,partisan_score,hashtags
Mike Quigley,0,{'SpeakNowForKids'}
Denny Heck,0,{'NewDem'}
Jeff Fortenberry,1,{'Defense'}
José E. Serrano,0,{'KeepFamiliesTogether'}
Dina Titus,0,"{'GetTested', 'HIV', 'HIVTestingDay'}"
Mario Diaz-Balart,1,{'immigration'}
Mario Diaz-Balart,1,{'immigration'}
Mike Quigley,0,{'SaveSCOTUS'}
Bobby L. Rush,0,{'Justice4Garland'}
Bobby L. Rush,0,{'Justice4Garland'}
Ruben Gallego,0,{'TrumpAdministration'}
Katherine Clark,0,"{'DREAMERS', 'GOP'}"
Mike Rogers,1,"{'AL03', 'NDAA', 'HASC'}"
José E. Serrano,0,{'Janus'}
José E. Serrano,0,{'Janus'}
John Garamendi,0,{'JanusvAFSCME'}
Sean Patrick Maloney,0,{'agentorange'}
Jeff Fortenberry,1,{'SCOTUS'}
Dina Titus,0,{'LVAces'}
Donald Norcross,0,"{'Janus', 'Union', 'JANUSvsAFSCME'}"
David Scott,0,"{'SCOTUS', 'JanusvAFSCME'}"
Jim Cooper,0,{'ProjectRegisterTN'}
Joaquin Castro,0,{'ProtectOurCare'}
Joaquin Castro,0,{'ProtectOurCare'}
John Garamendi,0,{'PawneeFire'}
Bobby L. Rush,0,"{'Janus', 'SCOTUS'}"
Mike Quigley,0,"{'NationalParks', 'QuigleyClimateTour', 'GreatLakes', 'ClimateChange'}"
Brenda Lawrence,0,{'FURPA'}
Brenda Lawrence,0,{'FURPA'}
John Lewis,0,{'goodtrouble'}
Joaquin Castro,0,{'FamiliesBelongTogether'}
Joaquin Castro,0,{'FamiliesBelongTogether'}
Joaquin Castro,0,{'FamiliesBelongTogether'}
Adam Kinzinger,1,{'FY2019'}
Brenda Lawrence,0,"{'WomensRights', 'TBT'}"
Louie Gohmert,1,{'WhiteOak'}
Joyce Beatty,0,"{'WomensRights', 'TBT'}"
Dina Titus,0,"{'marjorystonemandouglas', 'StoriesUntold'}"
Tom Emmer,1,"{'PCHETA', 'SubHealth'}"
Mike Quigley,0,"{'NaitonalParks', 'ClimateChange'}"
Joe Wilson,1,{'FY2019'}
Tom Reed,1,{'PCHETA'}
Robin Kelly,0,{'HonorWithAction'}
Kathleen Rice,0,{'EqualityFoward'}
Earl Blumenauer,0,{'AbolishICE'}
Joaquin Castro,0,{'Annapolis'}
Jeff Fortenberry,1,{'defense'}
Thomas Massie,1,{'Rosenstein'}
André Carson,0,"{'Annapolis', 'EndGunViolence'}"
Sheila Jackson Lee,0,"{'janus', 'union'}"
Louie Gohmert,1,{'Rosenstein'}
Earl Blumenauer,0,{'GoBeavs'}
Lee Zeldin,1,{'congressmansoldierfamily'}
Judy Chu,0,"{'CapitalGazette', 'EnoughIsEnough', 'EndGunViolence'}"
John Lewis,0,{'goodtrouble'}
Joe Wilson,1,{'TaxReform'}
Thomas Massie,1,{'Innovation'}
Susan W. Brooks,1,{'TaxReform'}
Robin Kelly,0,"{'smallbusiness', 'Kankakee', 'jobs'}"
Grace Meng,0,{'KeepFamiliesTogether'}
Jeff Fortenberry,1,{'RussiaProbe'}
Mike Quigley,0,"{'climatechange', 'greatlakes'}"
Jeff Fortenberry,1,{'Ag'}
Mike Quigley,0,"{'QuigleyClimateTour', 'GreatLakes'}"
Mike Quigley,0,"{'QuigleyClimateTour', 'GreatLakes'}"
Brian Higgins,0,{'GOPBudget'}
Denny Heck,0,"{'universityplace', 'pnw'}"
Joaquin Castro,0,{'SouthJersey'}
Louie Gohmert,1,{'Rosenstein'}
Sheila Jackson Lee,0,{'SCOTUSnominee'}
Scott DesJarlais,1,{'Arizona'}
Sheila Jackson Lee,0,{'NAACP'}
Suzanne Bonamici,0,{'FamiliesBelongTogether'}
Sheila Jackson Lee,0,"{'4thofJuly', 'repwaters'}"
Mario Diaz-Balart,1,{'Iran'}
Earl Blumenauer,0,{'FamiliesBelongTogether'}
John Lewis,0,{'goodtrouble'}
Denny Heck,0,{'FamiliesBelongTogether'}
Albio Sires,0,{'KeepFamiliesTogetherAct'}
Albio Sires,0,{'KeepFamiliesTogether'}
Lloyd Doggett,0,{'FamiliesBelongTogether'}
John Lewis,0,{'KeepFamiliesTogether'}
Hakeem Jeffries,0,{'ABetterDeal'}
Denny Heck,0,{'FamiliesBelongTogether'}
Nancy Pelosi,0,{'FamiliesBelongTogether'}
Mark Meadows,1,{'NorthCarolina'}
John Garamendi,0,"{'GuindaFire', 'CountyFire'}"
John Garamendi,0,{'PawneeFire'}
Lloyd Doggett,0,{'FamiliesBelongTogether'}
John Garamendi,0,"{'GuindaFire', 'CountyFire'}"
Joaquin Castro,0,{'AMLO'}
Joaquin Castro,0,{'WalkAway'}
José E. Serrano,0,{'AndresManuelLopezObrador'}
Steve Cohen,0,"{'Impeach45', 'Trump', 'ImpeachTrump'}"
Steve Cohen,0,"{'workrequirements', 'Trump'}"
Hakeem Jeffries,0,"{'ForThePeople', 'NetNeutrality', 'GOPTaxScam'}"
Judy Chu,0,{'MondayMotivation'}
John Garamendi,0,{'PawneeFire'}
John Garamendi,0,{'CountyFire'}
Sean Patrick Maloney,0,"{'NewDems', 'FamiliesBelongTogether'}"
John Lewis,0,{'goodtrouble'}
Judy Chu,0,{'2020census'}
Louie Gohmert,1,"{'DOJ', 'SCOTUS', 'Immigration'}"
Lloyd Doggett,0,{'LloydListens'}
Joaquin Castro,0,{'MuellerInvestigation'}
Louie Gohmert,1,{'DraintheSwamp'}
John Garamendi,0,{'CountyFire'}
John Garamendi,0,{'CountyFire'}
John Lewis,0,{'goodtrouble'}
Suzanne Bonamici,0,{'FamiliesBelongTogether'}
Joe Wilson,1,{'TaxReform'}
Louie Gohmert,1,{'outnumberedot'}
Jim Cooper,0,{'BREAKING'}
Bobby L. Rush,0,{'ProtectOurCare'}
Joyce Beatty,0,{'ABetterDeal'}
Judy Chu,0,{'2020Census'}
Judy Chu,0,{'EqualRepresentation'}
Nancy Pelosi,0,{'WhatsAtStake'}
Ted Yoho,1,{'ProtectAndServe'}
Nancy Pelosi,0,{'WhatsAtStake'}
Joaquin Castro,0,{'immigration'}
